"symbol","name","price"
"APC.F","Apple Inc.","212.20"
"APC.DE","Apple Inc.","212.00"
"NVD.DE","NVIDIA Corporation","130.16"
"NVD.F","NVIDIA Corporation","130.16"
"NVDG.F","NVIDIA Corporation","22.00"
"APC8.F","Apple Inc.","22.00"
"MSF.DE","Microsoft Corporation","394.00"
"MSF.F","Microsoft Corporation","393.75"
"MSF0.F","Microsoft Corporation","19.80"
"ABEC.DE","Alphabet Inc.","152.82"
"ABEA.DE","Alphabet Inc.","151.16"
"ABEA.F","Alphabet Inc.","151.10"
"ABEC.F","Alphabet Inc.","152.72"
"ABE0.F","Alphabet Inc.","17.70"
"AMZ.F","Amazon.com, Inc.","173.22"
"AMZ.DE","Amazon.com, Inc.","173.66"
"AMZ1.F","Amazon.com, Inc.","14.50"
"FB2A.F","Meta Platforms, Inc.","528.90"
"FB2A.DE","Meta Platforms, Inc.","529.30"
"FB20.F","Meta Platforms, Inc.","20.80"
"TSFA.F","Taiwan Semiconductor Manufacturing Company Limited","185.20"
"BRH.F","Berkshire Hathaway Inc.","633,500.00"
"BRYN.DE","Berkshire Hathaway Inc.","423.30"
"BRYN.F","Berkshire Hathaway Inc.","422.75"
"BRHF.F","Berkshire Hathaway Inc.","22.60"
